,id,address,city,lat_long,name,url,score,text_description
0,0,"
bis 26 Route de la Rive Ardevon, 50170 Pontorson, France
",Pontorson,"48.61349776,-1.48584455",Au Mont Pour Deux,https://www.booking.com/hotel/fr/au-mont-pour-deux.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgJWANoTYgBAZgBCbgBCsgBBdgBA-gBAfgBA4gCAZgCAqgCA7gCveXAnwbAAgHSAiQzYWIwZTEyYy0yNGMyLTRhMTAtYmMzOS1mY2ZlNzEzYmU3YjnYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=b8960eded8490123&srepoch=1676686014&from=searchresults,8.3,"[""Au Mont Pour Deux is situated in Pontorson, 21 km from Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel, 46 km from Granville Train Station, and 47 km from Champrepus Zoo. The air-conditioned accommodation is 8.6 km from Mont Saint Michel Abbey, and guests benefit from private parking available on site and free WiFi."", 'The apartment has 1 bedroom, a flat-screen TV with satellite channels, an equipped kitchen with a fridge and an oven, and 1 bathroom with a shower. Towels and bed linen are available in the apartment.', ""Granville's Marina is 47 km from the apartment, while Port of Houle is 48 km from the property. The nearest airport is Rennes–Saint-Jacques Airport, 85 km from Au Mont Pour Deux. ""]"
1,1,"
5 Rue d'Asteriac, 50170 Beauvoir, France
",Beauvoir,"48.59773400,-1.51177300",Le Petit Gîte du Mont,https://www.booking.com/hotel/fr/le-petit-gite-du-mont.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgJWANoTYgBAZgBCbgBCsgBBdgBA-gBAfgBA4gCAZgCAqgCA7gCwOXAnwbAAgHSAiQ2MTBmMmFkNy0yMjg4LTQzNzktODEyMS0xYThlNzUyMTAzMTnYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=50&sr_order=popularity&srpvid=557a0ee089650078&srepoch=1676686017&from=searchresults,,"['Featuring a terrace, Le Petit Gîte du Mont features accommodation in Beauvoir with free WiFi and garden views. Located 5.1 km from Mont Saint Michel Abbey, the property provides a garden and free private parking.', 'The 3-bedroom holiday home comes with a living room with a flat-screen TV, a fully equipped kitchen and 1 bathroom.', ""Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel is 24 km from the holiday home, while Port of Houle is 44 km away. The nearest airport is Rennes–Saint-Jacques Airport, 85 km from Le Petit Gîte du Mont. ""]"
2,2,"
25 route de la greve Centre équestre la tanière, 50170 Moidrey, France
",Moidrey,"48.58103300,-1.51257200",Gîte la Taniere Le jersey,https://www.booking.com/hotel/fr/gite-la-taniere-le-jersey.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgJWANoTYgBAZgBCbgBCsgBBdgBA-gBAfgBA4gCAZgCAqgCA7gCwuXAnwbAAgHSAiRmOTkwYmI4Yy04ZTM0LTQ1YjMtYjc0ZS0wMDNkY2ViNDlhNmXYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=75&sr_order=popularity&srpvid=252c0ee14ae700f9&srepoch=1676686020&from_sustainable_property_sr=1&from=searchresults,7.8,"[""You're eligible for a Genius discount at Gîte la Taniere Le jersey! To save at this property, all you have to do is "", '.', 'Situated in Moidrey, just 6.9 km from Mont Saint Michel Abbey, Gîte la Taniere Le jersey features accommodation with a garden, a bar and free WiFi. Featuring free private parking, the apartment is in an area where guests can engage in activities such as hiking and fishing.', 'Boasting a DVD player, the apartment has a kitchen with a fridge, an oven and a dishwasher, a living room, a dining area, 2 bedrooms, and 1 bathroom with a shower. Towels and bed linen are available in the apartment.', 'A bicycle rental service is available at the apartment.', ""Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel is 25 km from Gîte la Taniere Le jersey, while Port of Houle is 42 km from the property. The nearest airport is Rennes–Saint-Jacques Airport, 86 km from the accommodation. ""]"
3,3,"
12 rue René Martineau, Saint-Servan, 35400 Saint Malo, France
",Malo,"48.63141800,-2.00745700",Résidence Fleurie,https://www.booking.com/hotel/fr/residence-fleurie.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCDnNlYXJjaF9zdCBtYWxvSAlYA2hNiAEBmAEJuAEKyAEF2AED6AEB-AEDiAIBmAICqAIDuALF5cCfBsACAdICJDBlYTg2NmE4LTczYjEtNGJkYy1iNTcwLTg0OTUzYzc4MWFjONgCBOACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=503b0ee217a3005c&srepoch=1676686022&from_beach_sr=1&from=searchresults,8.3,"['Located in Saint Malo, Résidence Fleurie provides garden views and free WiFi, 800 m from Plage des Fours à Chaux and less than 1 km from Plage du Rosais.', 'There is also a kitchen in some of the units equipped with a fridge, an oven, and a microwave.', 'Fishing can be enjoyed nearby.', 'Bas-Sablons Beach is 1.4 km from the apartment, while Solidor Tower is 1.7 km away. The nearest airport is Jersey Airport, 72 km from Résidence Fleurie. ']"
4,4,"
Sillon, 35400 Saint Malo, France
",Malo,"48.65267210,-2.01244690",Apartment Villa Terre neuve,https://www.booking.com/hotel/fr/apartment-villa-terre-neuve.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCDnNlYXJjaF9zdCBtYWxvSAlYA2hNiAEBmAEJuAEKyAEF2AED6AEB-AEDiAIBmAICqAIDuALI5cCfBsACAdICJDM0ZGEwNzU5LTdkYTQtNDQ3My1hZDdhLTFlMjRjNDRhMTAyZNgCBOACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=75&sr_order=popularity&srpvid=fb890ee466b50035&srepoch=1676686025&from_beach_sr=1&from=searchresults,8.5,"['Apartment Villa Terre neuve is located in the Sillon district of Saint Malo, 100 m from Sillon Beach, 700 m from Eventail Beach and 1.4 km from Bon Secours Beach. This beachfront property offers access to a terrace.', 'The apartment features 2 bedrooms, a TV, an equipped kitchen with a fridge and an oven, and 1 bathroom with a shower.', 'Popular points of interest near the apartment include Palais du Grand Large, Casino Barrière Saint-Malo and National Fort. The nearest airport is Jersey Airport, 73 km from Apartment Villa Terre neuve. ']"
5,5,"
100 Chaussée du Sillon, Sillon, 35400 Saint Malo, France
",Malo,"48.65475100,-2.00693300",Le PETIT SILLON - Joli T2 rénové - VUE MER - 1 place de parking,https://www.booking.com/hotel/fr/le-petit-sillon-joli-t2-renove-vue-mer-1-place-de-parking.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCDnNlYXJjaF9zdCBtYWxvSAlYA2hNiAEBmAEJuAEKyAEF2AED6AEB-AEDiAIBmAICqAIDuALJ5cCfBsACAdICJDIzNjM3NDIxLWJmMTctNDU4MS1hYjgxLWI1ODFmOGNhZTA3ZtgCBOACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=50&sr_order=popularity&srpvid=257b0ee4082a01bd&srepoch=1676686026&from_beach_sr=1&from=searchresults,8.5,"[""You're eligible for a Genius discount at Le PETIT SILLON - Joli T2 rénové - VUE MER - 1 place de parking! To save at this property, all you have to do is "", '.', 'In the Sillon district of Saint Malo, close to Sillon Beach, Le PETIT SILLON - Joli T2 rénové - VUE MER - 1 place de parking features a casino and a washing machine. This beachfront property offers access to free WiFi and free private parking.', 'The apartment with a balcony and sea views has 1 bedroom, a living room, a TV, an equipped kitchen with a fridge and an oven, and 1 bathroom with a shower. Towels and bed linen are offered in the apartment.', 'Popular points of interest near the apartment include Eventail Beach, Rochebonne Beach and Palais du Grand Large. The nearest airport is Jersey Airport, 73 km from Le PETIT SILLON - Joli T2 rénové - VUE MER - 1 place de parking. ']"
6,6,"
12, Rue de la cave, 14400 Bayeux, France
",Bayeux,"49.27618630,-0.69776950",Chambre d'hôtes - Dodo et tartines,https://www.booking.com/hotel/fr/chambre-d-39-hotes-dodo-et-tartines.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCDXNlYXJjaF9iYXlldXhICVgDaE2IAQGYAQm4AQrIAQXYAQPoAQH4AQOIAgGYAgKoAgO4AsvlwJ8GwAIB0gIkMTU1MjU1YWQtNTRhOC00MzhkLTgwMTUtYmRlZjE0MDIzMjEx2AIE4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=50&sr_order=popularity&srpvid=68ab0ee54ca400a9&srepoch=1676686028&from=searchresults,8.9,"[""You're eligible for a Genius discount at Chambre d'hôtes - Dodo et tartines! To save at this property, all you have to do is "", '.', ""Chambre d'hôtes - Dodo et tartines is located in Bayeux, a 5-minute walk from Bayeux Tapestry Museum. Set in a property originally built in the 19th century, this guest house offers a suite with a view of the garden and the landmarks."", 'The suites here will provide you with an LCD TV, internet access and a CD player.', 'A continental breakfast is available daily and is prepared with organic produce. It can be gluten free. One of the accommodations features a kitchen, where you can prepare your meals.', 'The bed and breakfast is 400 m from Baron Gerard Museum and 700 m from Cathedrale Notre-Dame-de-Bayeux. Public parking can be found nearby. ']"
7,7,"
27 Rue des Cuisiniers, 14123 Bayeux, France
",Bayeux,"49.27660730,-0.70339724",Gîte de la cathédrale,https://www.booking.com/hotel/fr/gite-de-la-cathedrale.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCDXNlYXJjaF9iYXlldXhICVgDaE2IAQGYAQm4AQrIAQXYAQPoAQH4AQOIAgGYAgKoAgO4As3lwJ8GwAIB0gIkYTVmYmYwNmQtOWM2My00YjQ4LThhNDktNDQ0OTk5ZGJkMDJh2AIE4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=25f00ee648740202&srepoch=1676686030&from=searchresults,9.0,"['Within 50 m of Baron Gerard Museum and 400 m of Cathedrale Notre Dame de Bayeux, Gîte de la cathédrale features free WiFi and a terrace. This apartment is 11 km from D-Day Museum and 12 km from Arromanches 360.', 'The apartment with a patio and city views has 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a fridge and an oven, and 1 bathroom with a shower. Towels and bed linen are available in the apartment.', 'Museum of the Bayeux Tapestry is 500 m from the apartment, while German Battery of D-Day is 9.4 km from the property. The nearest airport is Caen–Carpiquet Airport, 27 km from Gîte de la cathédrale. ']"
8,8,"
12 Rue Denfert Rochereau, 76610 Le Havre, France
",Havre,"49.48677410,0.13997500",M.A.H 2 Le calme en hyper centre magnifique,https://www.booking.com/hotel/fr/mah-2-le-calme-en-hyper-centre-magnifique.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCD3NlYXJjaF9sZSBoYXZyZUgJWANoTYgBAZgBCbgBCsgBBdgBA-gBAfgBA4gCAZgCAqgCA7gC0OXAnwbAAgHSAiQ1ZDBmYjFiMS1kMTA0LTQ2ZGQtOTg2MC1lNjgzZDgxODc4MznYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=443b0ee825c90151&srepoch=1676686033&from_beach_sr=1&from=searchresults,,"[""M.A.H 2 Le calme en hyper centre magnifique is located in Le Havre, 3 km from Perret Model Appartment, 3.5 km from Saint-Michel's Church, as well as 3.7 km from Eglise St-Joseph. The accommodation is 3 km from the Le Volcan and features free WiFi throughout the property."", 'The apartment comes with 3 bedrooms, a flat-screen TV and a fully equipped kitchen that provides guests with a fridge, an oven, a washing machine, a dishwasher and a microwave. Towels and bed linen are provided in the apartment.', ""Norman Museum of Ethnography and Popular Arts is 21 km from the apartment, while Honfleur's Old Harbour is 21 km away. The nearest airport is Deauville - Normandie Airport, 35 km from M.A.H 2 Le calme en hyper centre magnifique. ""]"
9,9,"
38 RUE DES BOUCHERS, 14400 Bayeux, France
",Bayeux,"49.27878040,-0.70337270",CASA PAULA garden & terrace,https://www.booking.com/hotel/fr/casa-paula-garden-terrace.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCDXNlYXJjaF9iYXlldXhICVgDaE2IAQGYAQm4AQrIAQXYAQPoAQH4AQOIAgGYAgKoAgO4AtLlwJ8GwAIB0gIkYjk2YjIyOWUtMjU5ZS00YjI2LTkzYTItM2E3MDQ4OTZmMDM52AIE4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=75&sr_order=popularity&srpvid=faae0ee9ccd1014d&srepoch=1676686035&from=searchresults,8.8,"['Within 400 m of Cathedrale Notre Dame de Bayeux and 400 m of Baron Gerard Museum, CASA PAULA garden & terrace features free WiFi and a garden. This apartment is 11 km from D-Day Museum and 12 km from Arromanches 360.', 'The apartment features 1 bedroom, 1 bathroom, bed linen, towels, a TV, a dining area, a fully equipped kitchen, and a terrace with city views.', 'Museum of the Bayeux Tapestry is 700 m from the apartment, while German Battery of D-Day is 8.8 km from the property. The nearest airport is Caen–Carpiquet Airport, 28 km from CASA PAULA garden & terrace. ']"
