,cities,longitude,latitude,main_daily_weather,day_temp,wind_speed
0,Mont Saint Michel,48.6359541,-1.511459954959514,Clouds,26,7.1
1,St Malo,48.649518,-2.0260409,Rain,26,6.6
2,Bayeux,49.2764624,-0.7024738,Clouds,26,7.4
3,Le Havre,49.4938975,0.1079732,Clouds,26,7.9
4,Rouen,49.4404591,1.0939658,Clouds,25,7.6
5,Paris,48.8588897,2.3200410217200766,Clouds,25,8.1
6,Amiens,49.8941708,2.2956951,Clouds,25,7.9
7,Lille,50.6365654,3.0635282,Clouds,26,8.6
8,Strasbourg,48.584614,7.7507127,Clear,28,9.3
9,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,Clear,31,9.8
10,Colmar,48.0777517,7.3579641,Clear,31,9.6
11,Eguisheim,48.0447968,7.3079618,Clear,31,9.7
12,Besancon,47.2380222,6.0243622,Clear,31,9.7
13,Dijon,47.3215806,5.0414701,Clear,32,10.0
14,Annecy,45.8992348,6.1288847,Clear,31,8.9
15,Grenoble,45.1875602,5.7357819,Clear,31,10.1
16,Lyon,45.7578137,4.8320114,Clear,31,10.0
17,Gorges du Verdon,43.7496562,6.3285616,Clear,32,8.7
18,Bormes les Mimosas,43.1506968,6.3419285,Clear,32,6.8
19,Cassis,43.2140359,5.5396318,Clear,30,8.8
20,Marseille,43.2961743,5.3699525,Clear,30,9.0
21,Aix en Provence,43.5298424,5.4474738,Clear,30,9.1
22,Avignon,43.9492493,4.8059012,Clouds,29,10.0
23,Uzes,44.0121279,4.4196718,Clouds,29,10.3
24,Nimes,43.8374249,4.3600687,Clouds,30,10.6
25,Aigues Mortes,43.5658225,4.1912837,Clouds,32,10.6
26,Saintes Maries de la mer,43.4522771,4.4287172,Clear,32,10.3
27,Collioure,42.52505,3.0831554,Clouds,35,7.8
28,Carcassonne,43.2130358,2.3491069,Clear,33,9.9
29,Ariege,42.9455368,1.4065544156065486,Clouds,35,6.4
30,Toulouse,43.6044622,1.4442469,Clear,35,6.5
31,Montauban,44.0175835,1.3549991,Clear,33,7.8
32,Biarritz,43.471143749999996,-1.552726590666314,Clouds,25,8.5
33,Bayonne,43.4945144,-1.4736657,Clouds,25,8.5
34,La Rochelle,46.1591126,-1.1520434,Clouds,26,7.8
